author,label,party,state,PEC135,ideology_2021,mean_page_followers,louvain_community,degree,strength,total_posts,total_image_posts,total_video_posts,total_text_posts,total_engagement,mean_engagement,Q1,Q2,Q3,is_wolf
Ossesio.Silva,Ossesio Silva,REPUBLICANOS,PE,1,0.55,44034.73774905762,2,63,16.92980375869251,3714,3015,681,18,382211,102.91087775982768,11,1,0,0
policialkatiasastre,Policial Katia Sastre,PL,SP,1,0.493,130439.83717277487,2,92,16.864209831103757,3820,2986,794,40,1465492,383.6366492146597,16,6,0,0
eduardobismarckce,Eduardo Bismarck,PDT,CE,0,-0.356,21293.543842364532,2,73,16.739145647913123,3045,2340,641,64,393514,129.2328407224959,13,3,0,0
charlesfernandesoficial,Charles Fernandes,PSD,BA,0,0.296,16445.822628167352,2,83,16.663082263651013,1697,1184,495,18,161234,95.01119622863878,4,0,0,0
cassioandrade4011,Cássio Andrade 4011,PSB,PA,0,-0.427,14954.922775601566,2,71,16.562262051748824,1787,1371,408,8,195094,109.17403469501959,2,1,0,0
VicentinhoJr,Vicentinho Júnior,PP,TO,0,0.51,16323.803358778627,2,62,16.505641560661548,3275,2970,297,8,102775,31.38167938931298,4,0,0,0
deputadohildorocha,Hildo Rocha,MDB,MA,0,0.137,31186.393655371307,2,81,16.420918143883927,1387,441,927,19,113507,81.83633741888968,2,2,0,0
mariarosas.oficial,Maria Rosas,REPUBLICANOS,SP,1,0.55,106164.98305084746,2,71,16.152033430547938,2183,1822,351,10,313267,143.50297755382502,3,0,0,0
lafayetteandrada,Lafayette Andrada,REPUBLICANOS,MG,1,0.55,50118.078269824924,2,84,15.972682408840697,971,686,275,10,137014,141.10607621009268,7,1,0,0
silvio.costafilhoi,Silvio Costa Filho,REPUBLICANOS,PE,0,0.55,103624.34487734488,2,72,15.637102876568745,2772,2426,318,28,446901,161.21969696969697,2,1,0,0
SheridanRR,Shéridan,PSDB,RR,1,0.157,76264.2072072072,2,73,14.797216701603597,1665,1398,264,3,374303,224.8066066066066,12,1,0,0
dulcepaganimiranda,Dulce Miranda,MDB,TO,0,0.137,18702.17964071856,2,59,14.613539286010832,1839,1454,335,50,115614,62.8678629690049,0,0,0,0
